modality,png_ordinal,metadata_window,first_frame_zero_based,stop_frame_exclusive,mae_0_1,pearson_r,archived_mean,regenerated_mean,archived_max,regenerated_max
GEI,8,12,55,96,0.10825659334659576,0.8704115748405457,0.5009182095527649,0.5170261263847351,1.0,1.0
CGI,8,12,55,96,0.15243403613567352,0.7877141237258911,0.500941812992096,0.5166594386100769,1.0,1.0
FDEI,8,12,55,96,0.22198337316513062,0.8795036673545837,0.21674476563930511,0.40662306547164917,0.5215686559677124,1.0
HEI_comb6,8,12,55,96,0.07495705038309097,0.8954417705535889,0.23825518786907196,0.2439136952161789,1.0,1.0
GEI,9,13,60,101,0.09916573762893677,0.885539174079895,0.49632182717323303,0.529233455657959,1.0,1.0
CGI,9,13,60,101,0.14289508759975433,0.8079752922058105,0.4963435232639313,0.5287566184997559,1.0,1.0
FDEI,9,13,60,101,0.2291669249534607,0.8894497156143188,0.21605224907398224,0.4157578647136688,0.5215686559677124,1.0
HEI_comb6,9,13,60,101,0.07606825977563858,0.8969113230705261,0.24018467962741852,0.24513445794582367,1.0,1.0
GEI,10,14,65,106,0.09575224667787552,0.8926783800125122,0.4948732852935791,0.5230191349983215,1.0,1.0
CGI,10,14,65,106,0.13757556676864624,0.8150777220726013,0.4949023425579071,0.5224511623382568,1.0,1.0
FDEI,10,14,65,106,0.2244909554719925,0.8967490196228027,0.21415174007415771,0.41491392254829407,0.5215686559677124,1.0
HEI_comb6,10,14,65,106,0.07145709544420242,0.9136379957199097,0.23426863551139832,0.2441680133342743,1.0,1.0
GEI,11,15,70,111,0.0969981700181961,0.8912082314491272,0.49181345105171204,0.5180416107177734,1.0,1.0
CGI,11,15,70,111,0.13881559669971466,0.8160842061042786,0.49182629585266113,0.5175814628601074,1.0,1.0
FDEI,11,15,70,111,0.21933284401893616,0.8933857083320618,0.21250732243061066,0.40540724992752075,0.5176470875740051,1.0
HEI_comb6,11,15,70,111,0.0715111792087555,0.9090344905853271,0.2309996336698532,0.23960347473621368,1.0,1.0
GEI,12,16,75,116,0.11940222978591919,0.8502745628356934,0.4921451807022095,0.523273229598999,1.0,1.0
CGI,12,16,75,116,0.15062113106250763,0.7876452207565308,0.4921819269657135,0.5228403806686401,1.0,1.0
FDEI,12,16,75,116,0.22812990844249725,0.8671866655349731,0.21052595973014832,0.40997517108917236,0.5176470875740051,1.0
HEI_comb6,12,16,75,116,0.07108352333307266,0.9074020385742188,0.239328533411026,0.24431824684143066,1.0,1.0
GEI,13,17,80,121,0.1167537271976471,0.852584719657898,0.48762238025665283,0.516615092754364,1.0,1.0
CGI,13,17,80,121,0.15380339324474335,0.7843729853630066,0.4876541197299957,0.5162386894226074,1.0,1.0
FDEI,13,17,80,121,0.22694772481918335,0.8592196702957153,0.21154379844665527,0.406985878944397,0.5215686559677124,1.0
HEI_comb6,13,17,80,121,0.07532311230897903,0.8924542665481567,0.2392360419034958,0.23804230988025665,1.0,1.0
GEI,14,18,85,126,0.1120184063911438,0.860435962677002,0.4833887815475464,0.512363076210022,1.0,1.0
CGI,14,18,85,126,0.1410040259361267,0.8086257576942444,0.4834269881248474,0.5121096968650818,1.0,1.0
FDEI,14,18,85,126,0.22055168449878693,0.8732804656028748,0.20932988822460175,0.39945825934410095,0.529411792755127,1.0
HEI_comb6,14,18,85,126,0.07542698085308075,0.9003210067749023,0.23543712496757507,0.2343265265226364,1.0,1.0
GEI,15,19,90,131,0.11584996432065964,0.8447265625,0.4762765169143677,0.5135882496833801,1.0,1.0
CGI,15,19,90,131,0.1550406962633133,0.7789604663848877,0.47630974650382996,0.5133967399597168,1.0,1.0
FDEI,15,19,90,131,0.23122115433216095,0.8456329107284546,0.20759817957878113,0.4054604470729828,0.5215686559677124,1.0
HEI_comb6,15,19,90,131,0.06973567605018616,0.9123047590255737,0.2238219529390335,0.23558364808559418,1.0,1.0
GEI,16,20,95,136,0.11999097466468811,0.84095698595047,0.469987690448761,0.5219190120697021,1.0,1.0
CGI,16,20,95,136,0.15409225225448608,0.7749466300010681,0.4700242280960083,0.5217968225479126,1.0,1.0
FDEI,16,20,95,136,0.23787392675876617,0.8572332859039307,0.20636285841464996,0.41768431663513184,0.5215686559677124,1.0
HEI_comb6,16,20,95,136,0.07043242454528809,0.9161838889122009,0.23147360980510712,0.24303752183914185,1.0,1.0
GEI,17,21,100,141,0.13306628167629242,0.8198440670967102,0.4625585377216339,0.5225495100021362,1.0,1.0
CGI,17,21,100,141,0.16664597392082214,0.7546323537826538,0.4625783860683441,0.522275984287262,1.0,1.0
FDEI,17,21,100,141,0.24171867966651917,0.8506454825401306,0.20318736135959625,0.41753533482551575,0.5215686559677124,1.0
HEI_comb6,17,21,100,141,0.0697985589504242,0.9141795039176941,0.23366647958755493,0.24388156831264496,1.0,1.0
GEI,18,22,105,146,0.12881608307361603,0.8291862607002258,0.4552817642688751,0.514544665813446,1.0,1.0
CGI,18,22,105,146,0.16610361635684967,0.7576671242713928,0.4553089439868927,0.5139882564544678,1.0,1.0
FDEI,18,22,105,146,0.23445093631744385,0.8544217944145203,0.20325171947479248,0.40884125232696533,0.5215686559677124,1.0
HEI_comb6,18,22,105,146,0.06702373176813126,0.9114865660667419,0.23143798112869263,0.23578588664531708,1.0,1.0
GEI,19,23,110,151,0.12045276165008545,0.8489125370979309,0.45561978220939636,0.5106523036956787,1.0,1.0
CGI,19,23,110,151,0.15474462509155273,0.7759729623794556,0.45564785599708557,0.5097876787185669,1.0,1.0
FDEI,19,23,110,151,0.2335261106491089,0.8662171959877014,0.20090146362781525,0.4114428162574768,0.5254902243614197,1.0
HEI_comb6,19,23,110,151,0.06976044178009033,0.9095860123634338,0.22769217193126678,0.22728340327739716,1.0,1.0
GEI,20,24,115,156,0.11485958099365234,0.8553436398506165,0.4525907039642334,0.5037862658500671,1.0,1.0
CGI,20,24,115,156,0.15143676102161407,0.7856757640838623,0.45261839032173157,0.5030081868171692,1.0,1.0
FDEI,20,24,115,156,0.22514793276786804,0.8695365786552429,0.19866620004177094,0.40072697401046753,0.5176470875740051,1.0
HEI_comb6,20,24,115,156,0.06869067996740341,0.9125168919563293,0.2241504043340683,0.22964820265769958,1.0,1.0
GEI,21,25,120,161,0.11179278790950775,0.8623640537261963,0.4517945647239685,0.49718186259269714,1.0,1.0
CGI,21,25,120,161,0.14313411712646484,0.8014976382255554,0.4518129825592041,0.4965866804122925,1.0,1.0
FDEI,21,25,120,161,0.21916136145591736,0.8795953392982483,0.200443834066391,0.3963821828365326,0.5215686559677124,1.0
HEI_comb6,21,25,120,161,0.0678127184510231,0.921163022518158,0.22236883640289307,0.2347797453403473,1.0,1.0
GEI,22,26,125,166,0.11504355818033218,0.8653940558433533,0.4493037462234497,0.49217739701271057,1.0,1.0
CGI,22,26,125,166,0.14786198735237122,0.7895674109458923,0.4493231177330017,0.49172165989875793,1.0,1.0
FDEI,22,26,125,166,0.2210160791873932,0.8835750818252563,0.1966124027967453,0.39724597334861755,0.5137255191802979,1.0
HEI_comb6,22,26,125,166,0.06717376410961151,0.9213458299636841,0.2185235619544983,0.23165962100028992,1.0,1.0
GEI,23,27,130,171,0.10707065463066101,0.880253791809082,0.44752904772758484,0.4896405041217804,1.0,1.0
CGI,23,27,130,171,0.13561807572841644,0.8157227039337158,0.4475458562374115,0.4891982674598694,1.0,1.0
FDEI,23,27,130,171,0.21514983475208282,0.8978075385093689,0.1980985850095749,0.3879067599773407,0.5215686559677124,1.0
HEI_comb6,23,27,130,171,0.06395985186100006,0.919386088848114,0.2146741896867752,0.22481243312358856,1.0,1.0
GEI,24,28,135,176,0.09021934121847153,0.9024487137794495,0.44611525535583496,0.4847445785999298,1.0,1.0
CGI,24,28,135,176,0.1287747323513031,0.836715817451477,0.44613566994667053,0.48464420437812805,1.0,1.0
FDEI,24,28,135,176,0.2099888026714325,0.8997570872306824,0.1943284124135971,0.38144853711128235,0.5215686559677124,1.0
HEI_comb6,24,28,135,176,0.06223250925540924,0.917072057723999,0.21024079620838165,0.22047263383865356,1.0,1.0
GEI,25,29,140,181,0.09584523737430573,0.8893142342567444,0.43887242674827576,0.4818846881389618,1.0,1.0
CGI,25,29,140,181,0.14025159180164337,0.8099069595336914,0.43889880180358887,0.48199260234832764,1.0,1.0
FDEI,25,29,140,181,0.21104265749454498,0.8963450193405151,0.19243557751178741,0.3823600709438324,0.5215686559677124,1.0
HEI_comb6,25,29,140,181,0.06932398676872253,0.9106168746948242,0.2131224274635315,0.2427583485841751,1.0,1.0
GEI,26,30,145,186,0.09889332205057144,0.8798907995223999,0.4421786665916443,0.48265135288238525,1.0,1.0
CGI,26,30,145,186,0.14700765907764435,0.7933569550514221,0.44221797585487366,0.48281213641166687,1.0,1.0
FDEI,26,30,145,186,0.21667933464050293,0.8851158022880554,0.19482578337192535,0.3866254687309265,0.5215686559677124,1.0
HEI_comb6,26,30,145,186,0.06861507147550583,0.9096265435218811,0.21378731727600098,0.24196329712867737,1.0,1.0
GEI,27,31,150,191,0.10407140105962753,0.8639447689056396,0.43699324131011963,0.48212388157844543,1.0,1.0
CGI,27,31,150,191,0.153220534324646,0.7781644463539124,0.43702077865600586,0.48218095302581787,1.0,1.0
FDEI,27,31,150,191,0.22177742421627045,0.8665962815284729,0.19150511920452118,0.383958101272583,0.5254902243614197,1.0
HEI_comb6,27,31,150,191,0.07670058310031891,0.8871697187423706,0.21291452646255493,0.24137863516807556,1.0,1.0
GEI,28,32,155,196,0.10476154834032059,0.8585515022277832,0.43812695145606995,0.4785879850387573,1.0,1.0
CGI,28,32,155,196,0.1482616513967514,0.7872459888458252,0.4381805658340454,0.47855380177497864,1.0,1.0
FDEI,28,32,155,196,0.21576732397079468,0.8695052862167358,0.19137702882289886,0.3815692067146301,0.5215686559677124,1.0
HEI_comb6,28,32,155,196,0.07203491032123566,0.9000232815742493,0.21297594904899597,0.24115347862243652,1.0,1.0
GEI,29,33,160,201,0.11924214661121368,0.8320108652114868,0.4411919116973877,0.48246297240257263,1.0,1.0
CGI,29,33,160,201,0.1642451137304306,0.752670168876648,0.44122549891471863,0.4822063148021698,1.0,1.0
FDEI,29,33,160,201,0.22787050902843475,0.832547128200531,0.19452953338623047,0.3901819586753845,0.5215686559677124,1.0
HEI_comb6,29,33,160,201,0.06809908151626587,0.9133123159408569,0.21375146508216858,0.24178701639175415,1.0,1.0
GEI,30,34,165,206,0.12765468657016754,0.8175270557403564,0.4399355351924896,0.4843028485774994,1.0,1.0
CGI,30,34,165,206,0.16590836644172668,0.7506094574928284,0.4399685859680176,0.4839473068714142,1.0,1.0
FDEI,30,34,165,206,0.2244361937046051,0.8180467486381531,0.19230620563030243,0.3831784427165985,0.5215686559677124,1.0
HEI_comb6,30,34,165,206,0.08152709156274796,0.898291289806366,0.21264533698558807,0.25317177176475525,1.0,1.0
GEI,31,35,170,211,0.11682233959436417,0.8403521180152893,0.4403829872608185,0.478464812040329,1.0,1.0
CGI,31,35,170,211,0.1521081030368805,0.7760802507400513,0.4404159486293793,0.4781879782676697,1.0,1.0
FDEI,31,35,170,211,0.21214061975479126,0.8424769043922424,0.19653792679309845,0.37514203786849976,0.5176470875740051,1.0
HEI_comb6,31,35,170,211,0.08904331922531128,0.8915220499038696,0.21154646575450897,0.26082417368888855,1.0,1.0
GEI,32,36,175,216,0.1116102784872055,0.8587995767593384,0.4427564740180969,0.46953296661376953,1.0,1.0
CGI,32,36,175,216,0.14626763761043549,0.7907096147537231,0.44276365637779236,0.4693155884742737,1.0,1.0
FDEI,32,36,175,216,0.20783433318138123,0.8596856594085693,0.19106368720531464,0.37015464901924133,0.5333333611488342,1.0
HEI_comb6,32,36,175,216,0.085056371986866,0.8917012214660645,0.2084563672542572,0.25131794810295105,1.0,1.0
GEI,33,37,180,221,0.10585001856088638,0.8710440993309021,0.4500543177127838,0.47327569127082825,1.0,1.0
CGI,33,37,180,221,0.15261323750019073,0.77815181016922,0.45006170868873596,0.4730018079280853,1.0,1.0
FDEI,33,37,180,221,0.20383082330226898,0.8696574568748474,0.20019198954105377,0.36356696486473083,0.5254902243614197,1.0
HEI_comb6,33,37,180,221,0.08754204958677292,0.8801960349082947,0.20888179540634155,0.23967668414115906,1.0,1.0
GEI,34,38,185,226,0.0986657440662384,0.8814887404441833,0.4513394236564636,0.46853044629096985,1.0,1.0
CGI,34,38,185,226,0.14280429482460022,0.8038333654403687,0.4513559937477112,0.468316912651062,1.0,1.0
FDEI,34,38,185,226,0.19427689909934998,0.8882194757461548,0.1932629495859146,0.35780149698257446,0.5254902243614197,1.0
HEI_comb6,34,38,185,226,0.09717091172933578,0.8528236150741577,0.2093617022037506,0.22645549476146698,1.0,1.0
GEI,35,39,190,231,0.11247117072343826,0.8664097785949707,0.4522378444671631,0.4560648500919342,1.0,1.0
CGI,35,39,190,231,0.16594669222831726,0.7517672777175903,0.4522683322429657,0.45596930384635925,1.0,1.0
FDEI,35,39,190,231,0.193276047706604,0.8670945763587952,0.19563980400562286,0.34568679332733154,0.5215686559677124,1.0
HEI_comb6,35,39,190,231,0.10251615196466446,0.8370112180709839,0.20953215658664703,0.22915521264076233,1.0,1.0
GEI,36,40,195,236,0.11089305579662323,0.8671477437019348,0.4569586217403412,0.45403775572776794,1.0,1.0
CGI,36,40,195,236,0.15988051891326904,0.7761312127113342,0.45700404047966003,0.45393136143684387,1.0,1.0
FDEI,36,40,195,236,0.18518486618995667,0.86661696434021,0.19344796240329742,0.33847329020500183,0.5215686559677124,1.0
HEI_comb6,36,40,195,236,0.08894096314907074,0.8611924052238464,0.2110043466091156,0.22727659344673157,1.0,1.0
GEI,37,41,200,241,0.11357409507036209,0.8608601093292236,0.4570475220680237,0.45879948139190674,1.0,1.0
CGI,37,41,200,241,0.16772881150245667,0.7574059367179871,0.45709049701690674,0.45850932598114014,1.0,1.0
FDEI,37,41,200,241,0.18652698397636414,0.8605353236198425,0.1938139647245407,0.3422176241874695,0.5215686559677124,1.0
HEI_comb6,37,41,200,241,0.08406376093626022,0.8666343688964844,0.21594688296318054,0.22714513540267944,1.0,1.0
GEI,38,42,205,246,0.11405688524246216,0.8595203757286072,0.44459468126296997,0.46049556136131287,1.0,1.0
CGI,38,42,205,246,0.16296641528606415,0.760694146156311,0.44461551308631897,0.4603123664855957,1.0,1.0
FDEI,38,42,205,246,0.18957926332950592,0.860313355922699,0.1904149353504181,0.34154677391052246,0.5176470875740051,1.0
HEI_comb6,38,42,205,246,0.08034295588731766,0.8615160584449768,0.19886142015457153,0.2170315384864807,1.0,1.0
