modality,png_ordinal,metadata_window,first_frame_zero_based,stop_frame_exclusive,mae_0_1,pearson_r,archived_mean,regenerated_mean,archived_max,regenerated_max
FDEI,32,35,170,211,0.20834510028362274,0.8531109094619751,0.19106368720531464,0.37514203786849976,0.5333333611488342,1.0
HEI_comb6,32,35,170,211,0.08251076936721802,0.9025159478187561,0.2084563672542572,0.26082417368888855,1.0,1.0
GEI,33,36,175,216,0.10580147057771683,0.8696805238723755,0.4500543177127838,0.46953296661376953,1.0,1.0
CGI,33,36,175,216,0.13935084640979767,0.7946268916130066,0.45006170868873596,0.4693155884742737,1.0,1.0
FDEI,33,36,175,216,0.20768563449382782,0.8638492226600647,0.20019198954105377,0.37015464901924133,0.5254902243614197,1.0
HEI_comb6,33,36,175,216,0.0831804871559143,0.8985193967819214,0.20888179540634155,0.25131794810295105,1.0,1.0
GEI,34,37,180,221,0.09663724154233932,0.8831430673599243,0.4513394236564636,0.47327569127082825,1.0,1.0
CGI,34,37,180,221,0.1275082528591156,0.8206791877746582,0.4513559937477112,0.4730018079280853,1.0,1.0
FDEI,34,37,180,221,0.1991022378206253,0.8888269066810608,0.1932629495859146,0.36356696486473083,0.5254902243614197,1.0
HEI_comb6,34,37,180,221,0.07511178404092789,0.9123249053955078,0.2093617022037506,0.23967668414115906,1.0,1.0
GEI,35,38,185,226,0.09220468252897263,0.8934763073921204,0.4522378444671631,0.46853044629096985,1.0,1.0
CGI,35,38,185,226,0.13902515172958374,0.8130785226821899,0.4522683322429657,0.468316912651062,1.0,1.0
FDEI,35,38,185,226,0.19356080889701843,0.8935792446136475,0.19563980400562286,0.35780149698257446,0.5215686559677124,1.0
HEI_comb6,35,38,185,226,0.06034393236041069,0.9364148378372192,0.20953215658664703,0.22645549476146698,1.0,1.0
GEI,36,39,190,231,0.10742335021495819,0.8724177479743958,0.4569586217403412,0.4560648500919342,1.0,1.0
CGI,36,39,190,231,0.14947617053985596,0.7863732576370239,0.45700404047966003,0.45596930384635925,1.0,1.0
FDEI,36,39,190,231,0.19208747148513794,0.8726905584335327,0.19344796240329742,0.34568679332733154,0.5215686559677124,1.0
HEI_comb6,36,39,190,231,0.05409165844321251,0.9463350176811218,0.2110043466091156,0.22915521264076233,1.0,1.0
GEI,37,40,195,236,0.11076071858406067,0.8678092956542969,0.4570475220680237,0.45403775572776794,1.0,1.0
CGI,37,40,195,236,0.1530487984418869,0.7867634892463684,0.45709049701690674,0.45393136143684387,1.0,1.0
FDEI,37,40,195,236,0.18546923995018005,0.8669072389602661,0.1938139647245407,0.33847329020500183,0.5215686559677124,1.0
HEI_comb6,37,40,195,236,0.05654182285070419,0.9325841665267944,0.21594688296318054,0.22727659344673157,1.0,1.0
GEI,38,41,200,241,0.10865586996078491,0.8672285676002502,0.44459468126296997,0.45879948139190674,1.0,1.0
CGI,38,41,200,241,0.14442114531993866,0.797233521938324,0.44461551308631897,0.45850932598114014,1.0,1.0
FDEI,38,41,200,241,0.18615220487117767,0.8680011034011841,0.1904149353504181,0.3422176241874695,0.5176470875740051,1.0
HEI_comb6,38,41,200,241,0.08095024526119232,0.8750972151756287,0.19886142015457153,0.22714513540267944,1.0,1.0
